Date,Time,Tank,Position,PAR,Instrument,Measure_Type,Notes
20180924,12:19,2,5,342,LICOR-193,Six-point,Overcast
20180924,12:19,2,6,457,LICOR-193,Six-point,Overcast
20180924,12:21,3,1,365,LICOR-193,Six-point,Overcast
20180924,12:21,3,2,268,LICOR-193,Six-point,Overcast
20180924,12:21,3,3,255,LICOR-193,Six-point,Overcast
20180924,12:21,3,4,277,LICOR-193,Six-point,Overcast
20180924,12:21,3,5,416,LICOR-193,Six-point,Overcast
20180924,12:21,3,6,389,LICOR-193,Six-point,Overcast
20180925,9:12,1,1,61.2,LICOR-193,Six-point,Sunny/Clouds
20180925,9:12,1,2,76.9,LICOR-193,Six-point,Sunny/Clouds
20180925,9:12,1,3,73.6,LICOR-193,Six-point,Sunny/Clouds
20180925,9:12,1,4,77.5,LICOR-193,Six-point,Sunny/Clouds
20180925,9:12,1,5,90.7,LICOR-193,Six-point,Sunny/Clouds
20180925,9:12,1,6,89.7,LICOR-193,Six-point,Sunny/Clouds
20180925,9:13,2,1,58.7,LICOR-193,Six-point,Sunny/Clouds
20180925,9:13,2,2,68.3,LICOR-193,Six-point,Sunny/Clouds
20180925,9:13,2,3,67,LICOR-193,Six-point,Sunny/Clouds
20180925,9:13,2,4,67.2,LICOR-193,Six-point,Sunny/Clouds
20180925,9:13,2,5,74.4,LICOR-193,Six-point,Sunny/Clouds
20180925,9:13,2,6,72.7,LICOR-193,Six-point,Sunny/Clouds
20180925,9:15,3,1,76.2,LICOR-193,Six-point,Sunny/Clouds
20180925,9:15,3,2,86.1,LICOR-193,Six-point,Sunny/Clouds
20180925,9:15,3,3,81.6,LICOR-193,Six-point,Sunny/Clouds
20180925,9:15,3,4,78.2,LICOR-193,Six-point,Sunny/Clouds
20180925,9:15,3,5,81,LICOR-193,Six-point,Sunny/Clouds
20180925,9:15,3,6,78.7,LICOR-193,Six-point,Sunny/Clouds
20180925,917,4,1,80.4,LICOR-193,Six-point,Sunny/Clouds
20180925,917,4,2,85.4,LICOR-193,Six-point,Sunny/Clouds
20180925,917,4,3,87.5,LICOR-193,Six-point,Sunny/Clouds
20180925,917,4,4,82.7,LICOR-193,Six-point,Sunny/Clouds
20180925,917,4,5,88.9,LICOR-193,Six-point,Sunny/Clouds
20180925,917,4,6,89.6,LICOR-193,Six-point,Sunny/Clouds
20180925,9:19,5,1,95.8,LICOR-193,Six-point,Sunny/Clouds
20180925,9:19,5,2,96.1,LICOR-193,Six-point,Sunny/Clouds
20180925,9:19,5,3,99.9,LICOR-193,Six-point,Sunny/Clouds
20180925,9:19,5,4,94.3,LICOR-193,Six-point,Sunny/Clouds
20180925,9:19,5,5,104.4,LICOR-193,Six-point,Sunny/Clouds
20180925,9:19,5,6,94.5,LICOR-193,Six-point,Sunny/Clouds
20180925,9:21,6,1,212.5,LICOR-193,Six-point,Sunny/Clouds
20180925,9:21,6,2,188.7,LICOR-193,Six-point,Sunny/Clouds
20180925,9:21,6,3,342.1,LICOR-193,Six-point,Sunny/Clouds
20180925,9:21,6,4,148,LICOR-193,Six-point,Sunny/Clouds
20180925,9:21,6,5,152.3,LICOR-193,Six-point,Sunny/Clouds
20180925,9:21,6,6,158,LICOR-193,Six-point,Sunny/Clouds
20180925,9:10,7,1,99.8,LICOR-193,Six-point,Sunny/Clouds
20180925,9:10,7,2,90.4,LICOR-193,Six-point,Sunny/Clouds
20180925,9:10,7,3,87.7,LICOR-193,Six-point,Sunny/Clouds
20180925,9:10,7,4,103.1,LICOR-193,Six-point,Sunny/Clouds
20180925,9:10,7,5,110.2,LICOR-193,Six-point,Sunny/Clouds
20180925,9:10,7,6,107,LICOR-193,Six-point,Sunny/Clouds
20180925,9:07,8,1,86.5,LICOR-193,Six-point,Sunny/Clouds
20180925,9:07,8,2,93.3,LICOR-193,Six-point,Sunny/Clouds
20180925,9:07,8,3,83.9,LICOR-193,Six-point,Sunny/Clouds
20180925,9:07,8,4,92,LICOR-193,Six-point,Sunny/Clouds
20180925,9:07,8,5,91.1,LICOR-193,Six-point,Sunny/Clouds
20180925,9:07,8,6,101.8,LICOR-193,Six-point,Sunny/Clouds
20180925,9:02,9,1,83.5,LICOR-193,Six-point,Sunny/Clouds
20180925,9:02,9,2,102.4,LICOR-193,Six-point,Sunny/Clouds
20180925,9:02,9,3,104.3,LICOR-193,Six-point,Sunny/Clouds
20180925,9:02,9,4,97.8,LICOR-193,Six-point,Sunny/Clouds
20180925,9:02,9,5,102.5,LICOR-193,Six-point,Sunny/Clouds
20180925,9:02,9,6,105.2,LICOR-193,Six-point,Sunny/Clouds
20180925,8:57,10,1,104.9,LICOR-193,Six-point,Sunny/Clouds
20180925,8:57,10,2,110.3,LICOR-193,Six-point,Sunny/Clouds
