Type_Profile,Domain,Phylum,Class,Order,Family,Genus
X3855_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1502_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3840_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3853_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3854_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1487_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1541_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3841_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3848_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3828_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2436_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2116_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2109_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1367_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1867_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3859_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3856_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1422_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2166_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3843_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3812_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1850_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2113_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1851_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2376_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3860_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3813_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2157_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2098_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3808_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2534_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3806_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3832_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3849_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C3.2,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2225_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2094_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3826_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3833_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3834_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3024_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1772_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3862_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2569_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2687_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3863_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1454_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3807_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3819_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
D1,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D4,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D6,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D1ab,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1833_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1835_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1834_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D4d,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1836_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17d,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1838_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17j,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1837_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1869_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D5m,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1868_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17e,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D1r,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17c,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17l,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17k,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D17,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3082_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D1.6,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3036_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1871_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3190_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3075_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3069_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1870_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3292_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X1877_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3041_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D2.2,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3830_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3442_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3835_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
D4b,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3585_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3831_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3100_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3137_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3597_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3858_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
X3600_D,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Durusdinium
G3l,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium
G3m,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium
G3k,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium
X3814_G,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium
G3v,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Gerakladium
