,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth',,,,,,
HP337,HP337_S233_L001_R1_001.fastq.gz,HP337_S233_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1229,ATHC,3,5,20180923,,
HP338,HP338_S242_L001_R1_001.fastq.gz,HP338_S242_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1689,HTHC,10,10,20181117,,
HP339,HP339_S251_L001_R1_001.fastq.gz,HP339_S251_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1204,ATHC,3,10,20181117,,
HP340,HP340_S259_L001_R1_001.fastq.gz,HP340_S259_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1609,ATAC,6,4,20180922,,
HP341,HP341_S199_L001_R1_001.fastq.gz,HP341_S199_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2534,ATHC,11,3,20180922,,
HP342,HP342_S208_L001_R1_001.fastq.gz,HP342_S208_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2403,ATAC,8,12,20190112,,
HP343,HP343_S217_L001_R1_001.fastq.gz,HP343_S217_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1321,HTAC,4,5,20180923,,
HP344,HP344_S226_L001_R1_001.fastq.gz,HP344_S226_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1604,HTHC,10,6,20180929,,
HP345,HP345_S234_L001_R1_001.fastq.gz,HP345_S234_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1645,HTAC,7,7,20181006,,
HP346,HP346_S243_L001_R1_001.fastq.gz,HP346_S243_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2067,HTHC,10,8,20181020,,
HP347,HP347_S252_L001_R1_001.fastq.gz,HP347_S252_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2990,ATHC,12,12,20190112,,
HP348,HP348_S260_L001_R1_001.fastq.gz,HP348_S260_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,2986,ATHC,12,5,20180923,,
HP349,HP349_S200_L001_R1_001.fastq.gz,HP349_S200_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2153,HTAC,4,1,20180922,,
HP350,HP350_S209_L001_R1_001.fastq.gz,HP350_S209_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1467,HTAC,7,9,20181103,,
HP351,HP351_S218_L001_R1_001.fastq.gz,HP351_S218_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1239,HTHC,2,1,20180922,,
HP352,HP352_S227_L001_R1_001.fastq.gz,HP352_S227_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,NA,,AllMont,NA,NA,NA,NA,,
HP353,HP353_S235_L001_R1_001.fastq.gz,HP353_S235_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,NA,,AllPoc,NA,NA,NA,NA,,
HP354,HP354_S244_L001_R1_001.fastq.gz,HP354_S244_L001_R2_001.fastq.gz,coral_field,NA,NA,NA,NA,NA,NA,,,NA,,All,NA,NA,NA,NA,,
HP355,HP355_S253_L001_R1_001.fastq.gz,HP355_S253_L001_R2_001.fastq.gz,coral_field,NA,NA,NA,NA,NA,NA,,,NA,,None,NA,NA,NA,NA,,
