index,d__Eukaryota,d__Bacteria,Unassigned,d__Archaea,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW147,16.0,27928.0,405.0,0.0,1260,84.0,Reef.35.36,M19,2,Mcapitata,Hard,1260,ATHC,AT,HC,3,8
HPW148,12385.0,7567.0,667.0,0.0,1777,85.0,HIMB,P43,5,Pacuta,Hard,1777,ATAC,AT,AC,8,11
HPW149,6811.0,24770.0,69.0,18.0,1051,86.0,Reef.11.13,P43,5,Pacuta,Hard,1051,ATAC,AT,AC,1,8
HPW150,26015.0,4810.0,393.0,0.0,1536,87.0,Reef.35.36,P52,6,Pacuta,Hard,1536,HTAC,HT,AC,7,10
HPW151,83.0,13734.0,415.0,0.0,1237,88.0,Reef.35.36,M13,2,Mcapitata,Hard,1237,ATHC,AT,HC,3,11
HPW152,7.0,24565.0,395.0,0.0,2511,89.0,Reef.18,M47,5,Mcapitata,Hard,2511,HTHC,HT,HC,10,11
HPW153,37.0,21785.0,619.0,0.0,1250,90.0,Reef.42.43,M71,8,Mcapitata,Hard,1250,HTHC,HT,HC,5,7
HPW154,53.0,21885.0,175.0,8.0,1562,91.0,Reef.11.13,M6,1,Mcapitata,Hard,1562,HTAC,HT,AC,9,11
HPW155,34079.0,1605.0,410.0,4.0,1559,92.0,Lilipuna.Fringe,P65,7,Pacuta,Hard,1559,ATAC,AT,AC,8,10
HPW156,4.0,24230.0,396.0,10.0,1561,93.0,Reef.11.13,M26,3,Mcapitata,Hard,1561,ATAC,AT,AC,8,10
HPW157,5.0,22642.0,259.0,0.0,2302,94.0,Reef.18,M51,6,Mcapitata,Hard,2302,ATAC,AT,AC,6,11
HPW158,27.0,30016.0,385.0,0.0,1631,95.0,HIMB,M70,7,Mcapitata,Hard,1631,ATAC,AT,AC,6,10
HPW159,30610.0,516.0,220.0,0.0,2012,96.0,Reef.42.43,P48,5,Pacuta,Hard,2012,ATAC,AT,AC,8,8
HPW160,44.0,24670.0,412.0,8.0,1644,97.0,HIMB,M32,4,Mcapitata,Hard,1644,ATAC,AT,AC,8,11
HPW161,35045.0,839.0,241.0,0.0,1596,98.0,Reef.42.43,P15,2,Pacuta,Hard,1596,HTAC,HT,AC,4,11
HPW162,35333.0,1769.0,723.0,0.0,2212,99.0,Reef.35.36,P15,2,Pacuta,Hard,2212,ATHC,AT,HC,11,5
HPW163,25.0,21341.0,235.0,4.0,1776,100.0,Reef.42.43,M42,5,Mcapitata,Hard,1776,ATAC,AT,AC,8,5
HPW164,7.0,26704.0,292.0,4.0,2419,101.0,Reef.18,M44,5,Mcapitata,Hard,2419,HTHC,HT,HC,10,7
HPW165,15957.0,21896.0,181.0,0.0,1238,102.0,Reef.42.43,P2,1,Pacuta,Hard,1238,HTHC,HT,HC,2,10
HPW166,138.0,18231.0,469.0,0.0,1997,103.0,HIMB,M28,3,Mcapitata,Hard,1997,HTAC,HT,AC,9,5
HPW167,13.0,18074.0,275.0,0.0,2860,104.0,HIMB,M49,5,Mcapitata,Hard,2860,ATHC,AT,HC,11,7
HPW168,0.0,26890.0,301.0,0.0,1499,105.0,Reef.35.36,M53,6,Mcapitata,Hard,1499,ATAC,AT,AC,8,7
HPW169,23480.0,171.0,165.0,0.0,1329,106.0,Lilipuna.Fringe,P50,5,Pacuta,Hard,1329,HTAC,HT,AC,4,8
HPW170,12.0,20603.0,244.0,0.0,1345,107.0,Reef.18,M5,1,Mcapitata,Hard,1345,HTHC,HT,HC,2,5
HPW171,37099.0,515.0,447.0,18.0,1757,108.0,Reef.42.43,P4,1,Pacuta,Hard,1757,ATAC,AT,AC,6,5
HPW172,15.0,26377.0,309.0,0.0,2554,109.0,Reef.18,M57,6,Mcapitata,Hard,2554,ATHC,AT,HC,12,10
HPW173,9.0,22977.0,399.0,0.0,1235,110.0,Reef.42.43,M3,1,Mcapitata,Hard,1235,HTAC,HT,AC,4,8
HPW174,66.0,24647.0,454.0,0.0,1478,111.0,Reef.11.13,M64,7,Mcapitata,Hard,1478,HTAC,HT,AC,7,10
HPW175,39091.0,960.0,174.0,0.0,2300,112.0,Reef.18,P32,4,Pacuta,Hard,2300,HTHC,HT,HC,5,10
HPW176,17.0,26678.0,398.0,0.0,1754,113.0,HIMB,M24,3,Mcapitata,Hard,1754,HTAC,HT,AC,9,10
HPW177,28880.0,1431.0,444.0,0.0,1090,114.0,Lilipuna.Fringe,P74,8,Pacuta,Hard,1090,HTHC,HT,HC,2,7
HPW178,0.0,15389.0,242.0,0.0,1583,115.0,Lilipuna.Fringe,M18,2,Mcapitata,Hard,1583,HTAC,HT,AC,7,5
HPW179,5518.0,5514.0,65.0,27.0,1709,116.0,Lilipuna.Fringe,P40,4,Pacuta,Hard,1709,HTHC,HT,HC,10,8
