NCBI_Sample_Name,NCBI_Sample_Title,host,Sample.Date,geo_loc_name,env_broad_scale,lat_lon,env_medium,env_local_scale,organism
1338_HTAC,1338_HTAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1339_HTHC,1339_HTHC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1341_HTHC,1341_HTHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2204_HTHC,2204_HTHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1344_HTAC,1344_HTAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1744_HTAC,1744_HTAC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1353_HTHC,1353_HTHC_HoloInt,Montipora capitata,2018-10-20,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1409_HTHC,1409_HTHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1410_HTHC,1410_HTHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1411_HTHC,1411_HTHC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1412_HTHC,1412_HTHC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1413_HTHC,1413_HTHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1414_HTHC,1414_HTHC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1580_ATAC,1580_ATAC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1427_HTHC,1427_HTHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1090_HTHC,1090_HTHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1323_HTHC,1323_HTHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1422_HTHC,1422_HTHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1423_ATAC,1423_ATAC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1424_ATAC,1424_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1426_HTHC,1426_HTHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1487_HTAC,1487_HTAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1428_ATAC,1428_ATAC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1430_ATAC,1430_ATAC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1431_ATAC,1431_ATAC_HoloInt,Pocillopora acuta,2018-12-15,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1432_HTHC,1432_HTHC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1434_ATAC,1434_ATAC_HoloInt,Pocillopora acuta,2019-01-12,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
2878_ATHC,2878_ATHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1437_ATAC,1437_ATAC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1438_ATAC,1438_ATAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1439_HTHC,1439_HTHC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1440_HTHC,1440_HTHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1441_HTHC,1441_HTHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1442_ATHC,1442_ATHC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1443_ATAC,1443_ATAC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1444_ATAC,1444_ATAC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2414_HTAC,2414_HTAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1446_HTHC,1446_HTHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1447_HTHC,1447_HTHC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1448_ATAC,1448_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
2409_ATHC,2409_ATHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1450_ATHC,1450_ATHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1047_ATAC,1047_ATAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1595_HTHC,1595_HTHC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1454_HTHC,1454_HTHC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1499_ATAC,1499_ATAC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1456_ATAC,1456_ATAC_HoloInt,Pocillopora acuta,2018-12-15,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1457_HTHC,1457_HTHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1458_ATAC,1458_ATAC_HoloInt,Pocillopora acuta,2019-01-12,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
2363_ATAC,2363_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1461_ATAC,1461_ATAC_HoloInt,Montipora capitata,2018-09-29,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1462_ATAC,1462_ATAC_HoloInt,Pocillopora acuta,2019-01-12,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
2068_ATHC,2068_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2413_ATAC,2413_ATAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
